Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Scientific name,RL Category
7897.0,Pycnonotus capensis,Pycnonotidae,Passeriformes,AVIBASE-6234824B,4,2,2,0,4,19.6,9.8,4.0,4.6,22.0,92.8,14.5,78.2,15.7,86.2,38.6,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Omnivore,Insessorial,-34.84,-28.72,-32.65,20.57,151666.39,Pycnonotus capensis,LC
7911.0,Pycnonotus cinereifrons,Pycnonotidae,Passeriformes,AVIBASE-8BEDAAAC,0,0,0,0,0,17.4,10.8,4.7,5.2,20.4,83.1,9.3,74.2,11.1,71.6,36.7,Updated_literature,Dunning (2021),YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Pycnonotus plumosus,Shrubland,2,1.0,Herbivore,Frugivore,Insessorial,7.8,12.33,9.94,118.68,13216.58,Pycnonotus cinereifrons,LC
7902.0,Pycnonotus davisoni,Pycnonotidae,Passeriformes,AVIBASE-E68BC96B,0,0,0,0,0,16.6,9.1,4.0,5.0,18.3,80.0,10.2,70.3,12.7,79.0,26.3,DataFromSplit,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Pycnonotus finlaysoni,Shrubland,2,1.0,Herbivore,Omnivore,Insessorial,15.7,20.32,18.05,95.58,105356.95,Pycnonotus davisoni,LC
7903.0,Pycnonotus finlaysoni,Pycnonotidae,Passeriformes,AVIBASE-249A8210,5,2,3,0,4,16.6,9.1,4.0,5.0,18.3,80.0,10.2,70.3,12.7,79.0,26.3,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Omnivore,Insessorial,2.11,24.88,15.52,102.3,1253924.24,Pycnonotus finlaysoni,LC
7906.0,Pycnonotus flavescens,Pycnonotidae,Passeriformes,AVIBASE-9F6CB52D,5,2,3,0,4,17.5,8.4,3.9,4.6,19.5,85.4,12.1,73.7,14.2,89.8,28.9,Dunning,,NO,,,Forest,2,1.0,Omnivore,Omnivore,Insessorial,11.25,28.11,20.79,99.61,917016.17,Pycnonotus flavescens,LC
7908.0,Pycnonotus goiavier,Pycnonotidae,Passeriformes,AVIBASE-E6413C7F,6,0,1,5,4,18.5,11.2,4.3,5.0,20.9,87.0,12.9,75.9,14.5,77.2,27.8,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Omnivore,Insessorial,-9.11,18.7,3.53,109.8,2111233.61,Pycnonotus goiavier,LC
7887.0,Pycnonotus jocosus,Pycnonotidae,Passeriformes,AVIBASE-F9E37510,9,4,5,0,8,17.5,9.1,4.5,4.8,20.5,86.8,12.4,74.8,14.2,88.1,29.5,Dunning,,NO,,,Shrubland,2,1.0,Herbivore,Omnivore,Insessorial,2.54,30.91,20.23,93.52,5185044.87,Pycnonotus jocosus,LC
7891.0,Pycnonotus leucogenys,Pycnonotidae,Passeriformes,AVIBASE-A1DD797F,5,2,3,0,4,17.6,9.0,3.8,4.6,20.7,93.4,13.7,79.8,14.6,91.8,35.9,Dunning,,NO,,,Shrubland,2,2.0,Herbivore,Omnivore,Insessorial,26.67,36.02,30.38,81.49,378023.58,Pycnonotus leucogenys,LC
7907.0,Pycnonotus leucops,Pycnonotidae,Passeriformes,AVIBASE-9B0BF560,0,0,0,0,0,17.5,8.4,3.9,4.6,19.5,85.4,12.1,73.7,14.2,89.8,28.9,DataFromSplit,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Pycnonotus flavescens,Forest,2,1.0,Omnivore,Omnivore,Insessorial,1.01,6.23,2.92,115.62,54653.41,Pycnonotus leucops,LC
7892.0,Pycnonotus leucotis,Pycnonotidae,Passeriformes,AVIBASE-4A85D701,5,2,3,0,4,15.8,8.0,4.1,4.9,20.0,84.6,14.2,71.1,16.6,83.2,27.1,Dunning,,NO,,,Shrubland,2,2.0,Herbivore,Omnivore,Insessorial,15.19,35.43,28.39,62.7,2206861.39,Pycnonotus leucotis,LC
